trajectory_id,track_length,alpha,alpha_err,alpha_r_squared,alpha_p_value,alpha_method,D_generalized,D_original,D_err_original,diffusion_type,radius_of_gyration,r_squared_original,n_time_lags,alpha_powerlaw,alpha_powerlaw_err,alpha_powerlaw_r_squared
1980,11,1.0297472661749023,0.058012194245991924,0.9936924705862658,0.0031587535689217012,loglog,0.0686571336333496,0.06634078985916285,0.00552861877007849,normal,0.22064594051328437,0.9863003493414901,4,0.9871253057191175,0.10551529943933806,0.9863931877512042
2108,20,0.48982671295051994,0.06653734338146992,0.9312648058287484,0.0018139354344224403,loglog,0.0190794475464703,0.013052014028909839,0.0019704068555993367,sub-diffusion,0.16717888999855854,0.8797056117185476,6,0.4594949104579562,0.06843218545927139,0.9367662384245141
2114,11,0.842327781125536,0.06584941798981742,0.9879247674985463,0.006055953537350111,loglog,0.005134348567108069,0.005708780854181218,0.0002864878076039223,sub-diffusion,0.07991917333393848,0.9949884333929148,4,0.9023380517778666,0.0676089700410404,0.9925608960815924
2177,40,1.2101481926844193,0.04546223078360872,0.9860832459678854,1.2921829855774078e-10,loglog,0.061745938403568096,0.06200995065545191,0.001792285472824311,super-diffusion,0.2809810928018023,0.9925375557918247,12,0.9635739489643275,0.0593132945426595,0.9822828146353215
2208,75,0.9900334051140087,0.02703015765445043,0.9853107148445518,8.297070872121936e-20,loglog,0.003928419230692411,0.0036367108139544724,9.148469250131881e-05,normal,0.12685097202482531,0.9943368853393455,22,1.135304230720881,0.013816215917307478,0.9986349897213008
2249,13,1.1398013331411283,0.07023920632941104,0.992462196033974,0.0037760311887823357,loglog,0.06692426912500729,0.06626928427704114,0.005812812152378306,super-diffusion,0.25685331982917076,0.9848453446737503,4,1.2684952051908829,0.0934654850723092,0.9940018173729613
2292,14,0.7160836128046077,0.17158817435191243,0.8969930963326984,0.052902805234489966,loglog,0.005398326868615271,0.006826854726064289,0.000824345420541118,sub-diffusion,0.0896363542780767,0.9580911983624658,4,0.9257093077121604,0.23956274049659088,0.9114213577528026
2312,41,0.7737126761592716,0.044624750246830915,0.967805602319827,8.628016603814798e-09,loglog,0.008773931125101903,0.008384493664361206,0.00039077114757525956,sub-diffusion,0.16926559439557365,0.9808254335210805,12,0.9446055632606559,0.06166597076475517,0.9767927156163235
2393,10,0.3577782366745722,0.11836463603773924,0.820411734949397,0.09423417212317121,loglog,0.024516375353572987,0.01917383756949373,0.009826015189985665,sub-diffusion,0.16761057866435625,0.6556298569810024,4,0.30956093926322786,0.12813112133216076,0.7776609052273118
2488,36,0.6685727025974482,0.04830049557751634,0.9599197159222858,7.172414366084503e-07,loglog,0.007939768761223273,0.005153494495754006,0.0007525755875980532,sub-diffusion,0.11644952908983296,0.8389766056979904,10,0.5613046362144145,0.058070454736034796,0.9496923723294596
2528,25,1.4329561769375576,0.03384926417171069,0.9972177723589102,1.3876902213687932e-07,loglog,0.2156118218017894,0.26782389834823644,0.021854539965698434,super-diffusion,0.7388282912289527,0.9554653877634948,7,1.5504585629119252,0.0268532979236788,0.9993407960883957
2652,10,0.3016547637596018,0.07727937328202115,0.8839690467653774,0.0598037190217261,loglog,0.026424881220631698,0.020041266332517245,0.008042077779865117,sub-diffusion,0.19171440849691015,0.756404052864706,4,0.274882815748262,0.08208723118032031,0.8658165623185003
2654,10,1.0684788375519536,0.10759243204925502,0.9801233885666726,0.009988187663059978,loglog,0.14400985549243955,0.12769471404379365,0.018825487101273394,normal,0.2314315799520033,0.958342106371775,4,0.9227600379599338,0.16776282849285143,0.9618551220148782
2690,10,1.2663416830603262,0.031214966410896185,0.9987862576853312,0.0006070554154731234,loglog,0.18542211461852412,0.1562503215318147,0.0014868550654745505,super-diffusion,0.30576153387088983,0.9998189298810397,4,1.2091310019874844,0.039560080204802874,0.9988472088390921
2723,10,0.7189273944493051,0.08067788400337612,0.975432213857866,0.012360281348574918,loglog,0.09199717183697613,0.09795309306608527,0.013207451921111548,sub-diffusion,0.29323151504031514,0.9649150527177595,4,0.7006900802312909,0.1024876701347104,0.9699705157599928
2747,18,0.7959234034338186,0.008162706164472563,0.9996845648996736,2.3779077028989856e-06,loglog,0.003574906140196676,0.003166488366223925,0.00018766097946569502,sub-diffusion,0.057838326328281904,0.9827415615696993,5,0.7942105268612762,0.01490981574737337,0.9993107693520978
