cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75,cell_type
166,2491.0,296.9716087690037,0.35493900559480934,299.3701324769169,563.2468887996788,49,304,6.0,0.01708115688421616,0.0201527672853738,0.013386522091853498,0.02097928226955729,0.010899399373035978,0.03187868164259327,interphase
168,8878.0,499.06096654409885,0.4479378879714584,762.810993466997,663.3419689119171,135,516,6.0,0.018853709986573586,0.019867159522409392,0.009589503928473464,0.006997805407381791,0.014447820607381152,0.021445626014762943,interphase
173,9107.0,575.9726547895302,0.3449701125637735,256.70056000878446,696.7165916328099,141,623,11.0,0.020739623335887455,0.028457148384425358,0.036895394643825304,0.021668262180804074,0.00794952657621288,0.029617788757016955,interphase
177,3508.0,314.4274528917194,0.44589082240596617,481.0324971493729,632.868015963512,99,378,10.0,0.0725384498906414,0.07702243589847095,0.061947122343007296,0.1191604669846926,0.013522723505475318,0.1326831904901679,interphase
179,2949.0,244.99494936611666,0.6174053292336676,393.5957951848084,612.7046456425907,74,296,5.0,0.010519115231455241,0.014549675937349302,0.012138402284726511,0.010585058132592095,0.00652411571225982,0.017109173844851916,interphase
180,3292.0,408.40916292848976,0.2480154501824089,185.7843256379101,673.953219927096,83,338,7.0,0.017651579727576396,0.020089468749949334,0.014154441081469883,0.023080653837468268,0.007939430390038114,0.03102008422750638,interphase
182,3616.0,312.49852070358486,0.465309965799498,413.6418694690266,665.9045907079646,105,408,7.0,0.006066914848977103,0.008624744067002844,0.005559186420402999,0.004316592453339445,0.005119654118224069,0.009436246571563514,interphase
183,5429.0,358.3919189857867,0.5311452334191905,25.68207773070547,693.9242954503592,37,205,7.0,0.050952551892869964,0.11024300865512833,0.15771346948740492,0.06708811380839584,0.023558026172758612,0.09064613998115445,interphase
190,3033.0,254.4446968344225,0.5887019399647264,387.43785031322125,732.4487306297395,88,519,14.0,0.02121733460140411,0.03847183451881321,0.04803525884426419,0.02154939024716091,0.011596551048890631,0.03314594129605154,interphase
194,8236.0,373.9655121145938,0.7400534660214882,330.17314230208837,753.6619718309859,137,497,9.0,0.050438844669159474,0.05024437108875757,0.03168044839469904,0.053044640128985965,0.02603439733769035,0.07907903746667631,mitotic
200,4180.0,263.237590053236,0.7580368765498563,868.2344497607655,765.4545454545455,167,556,5.0,0.029104785235117128,0.028086679040013947,0.017166137844448235,0.02787234629108428,0.014413163877574573,0.042285510168658856,mitotic
204,4961.0,310.3675323681472,0.6471821410799834,618.495263051804,773.8530538197944,202,669,9.0,0.010095652278280335,0.016824147408133046,0.014694951298328335,0.014922694741045602,0.0066838068309683345,0.021606501572013936,interphase
206,3041.0,231.86500705120548,0.7108138216634738,784.9967116080237,785.5692206511017,108,436,6.0,0.021033175267029365,0.02331487330080644,0.015372576315441082,0.02796180262212245,0.009198576832995633,0.03716037945511808,mitotic
207,3761.0,288.8061325481597,0.5666310586159365,391.4480191438447,799.2151023663919,110,370,5.0,0.013409934181846744,0.013228455304891548,0.00818008662598148,0.017327571051880958,0.004797755311600302,0.02212532636348126,interphase
211,3782.0,263.76450198781714,0.6831226650837358,202.91565309360126,815.346641988366,60,285,7.0,0.00751582010040995,0.013108246801667122,0.012833208584616717,0.012697047987074984,0.0041104975249554,0.016807545512030383,interphase
213,4380.0,299.7289680818844,0.6126698904728455,735.2374429223744,819.834703196347,84,390,7.0,0.00998094495561649,0.00864656773236456,0.0037433396268750866,0.0057640912958203915,0.006060426375703722,0.011824517671524114,interphase
216,2671.0,210.50966799187808,0.7574250416130442,442.983901160614,823.8195432422314,81,314,5.0,0.05155121807265431,0.04629482321231221,0.027014483897554648,0.03203774020300202,0.020548877984175117,0.05258661818717714,mitotic
221,2338.0,221.82337649086284,0.5970899310612904,809.1261762189906,837.8964927288281,112,433,6.0,0.02687541316193754,0.07821538721243766,0.1227536389206032,0.029315263344521742,0.01504903069586885,0.04436429404039059,interphase
228,1660.0,160.98275605729688,0.8049320784590549,399.71144578313255,852.1548192771085,78,304,5.0,0.010522924787415042,0.061743327709056425,0.09801047182331435,0.024273383410877508,0.007282604985798762,0.03155598839667627,mitotic
230,2365.0,219.61626970967626,0.6161862287436104,270.07145877378434,861.0164904862579,101,424,10.0,0.013170855739285132,0.014339838675654032,0.011298839726416847,0.01363080590271301,0.00433910282605683,0.01796990872876984,interphase
238,5159.0,301.4751801064719,0.713300067833352,754.4279899205272,903.8301996510952,90,431,6.0,0.01674461178128377,0.056338241349506525,0.0688006348752925,0.09136847249629194,0.0036985151490015345,0.09506698764529348,mitotic
239,5471.0,343.9482681718907,0.5811527867596038,182.12410893803693,934.7411807713398,75,326,5.0,0.011787722593362913,0.0360347064955843,0.03773088926989259,0.05173679144839571,0.005395909313109426,0.05713270076150513,interphase
245,1779.0,173.6812408671319,0.741105413348766,827.1821247892074,911.1871838111299,58,296,6.0,0.010439715790265801,0.025990911319082956,0.03191437803359482,0.018537602661592628,0.006551964215409408,0.025089566877002038,mitotic
249,3937.0,244.02438661763952,0.8308235900590168,351.2649225298451,930.2141224282449,84,327,5.0,0.10305140271490602,0.09105517149023484,0.05376558835678382,0.0626865329995952,0.06206010593069742,0.12474663893029263,mitotic
253,2853.0,259.072113832392,0.534158690324356,541.8187872415002,939.0115667718192,104,483,8.0,0.029389406102712526,0.050462051015397844,0.07937687067455754,0.030110472096815548,0.00785752348670208,0.03796799558351763,interphase
255,2919.0,236.89444430272832,0.6536333571912101,715.4515244946899,944.7858855772524,70,311,6.0,0.02015054832598014,0.05316761497356783,0.0741655165135822,0.04423511006245699,0.006839372687026283,0.05107448274948327,interphase
260,2986.0,234.7228714274745,0.6810654488988331,635.158740790355,945.0790354989953,105,449,8.0,0.025511078160671465,0.07333962033172485,0.07869121157695493,0.09013167176793785,0.021968720828201536,0.11210039259613938,interphase
264,3040.0,249.5573952066306,0.6133982882375676,609.0013157894737,982.0085526315789,67,284,7.0,0.012398834794528975,0.014784326482350492,0.017278858123044284,0.011976868984505302,0.002658957583571234,0.014635826568076535,interphase
266,1999.0,204.59292911256333,0.6001245840501104,211.20360180090046,979.4902451225613,75,427,6.0,0.020669553770917785,0.042446506279662594,0.04765956750003608,0.03125480426724045,0.012945487516285253,0.0442002917835257,interphase
267,2683.0,220.61017305526642,0.6927546763135529,286.5218039508013,973.9936638091689,100,385,6.0,0.020341424054355618,0.02610331824917984,0.01619947219878156,0.019410602682803035,0.019608896551015942,0.03901949923381898,interphase
